,Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
778,TELD,2019-12-16,Fintech,China,Qingdao,Asia,2014,$396M,1,"China Reform Fund, Gaopeng Capital, Jinhui Xingye",1.12,"China Reform Fund, Gaopeng Capital, Jinhui Xingye",5,1.12
779,Acko General Insurance,2021-10-28,Fintech,India,Bengaluru,Asia,2016,$458M,1,"Intact Ventures, Munich Re Ventures, General Atlantic",1.1,"Intact Ventures, Munich Re Ventures, General Atlantic",5,1.1
780,apna,2021-09-15,Internet Software And Services,India,Bengaluru,Asia,2019,$193M,1,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners",1.1,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners",2,1.1
781,Beyond Identity,2022-02-22,Cybersecurity,United States,New York,North America,2019,$205M,1,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",1.1,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",3,1.1
782,Carousell,2021-09-15,E-commerce And Direct-to-consumer,Singapore,,Asia,2012,$288M,1,"500 Global, Rakuten Ventures, Golden Gate Ventures",1.1,"500 Global, Rakuten Ventures, Golden Gate Ventures",9,1.1
783,Chief,2022-03-31,Other,United States,New York,North America,2019,$140M,1,"General Catalyst, Inspired Capital, Flybridge Capital Partners",1.1,"General Catalyst, Inspired Capital, Flybridge Capital Partners",3,1.1
784,CoinDCX,2021-08-10,Fintech,India,Maharashtra,Asia,2017,$109M,1,"Polychain Capital, Coinbase Ventures, Jump Capital",2.15,"Polychain Capital, Coinbase Ventures, Jump Capital",4,2.15
785,Daily Harvest,2021-11-16,E-commerce And Direct-to-consumer,United States,New York,North America,2014,$120M,1,"M13, Lightspeed Venture Partners, Lone Pine Capital",1.1,"M13, Lightspeed Venture Partners, Lone Pine Capital",7,1.1
786,Enpal,2021-10-18,Internet Software And Services,Germany,Berlin,Europe,2017,$304M,1,"HV Capital, Softbank Group, BlackRock",1.1,"HV Capital, Softbank Group, BlackRock",4,1.1
787,eSentire,2022-02-22,Cybersecurity,Canada,Waterloo,North America,2001,$186M,1,"Edison Partners, Georgian Partners, VentureLink",1.1,"Edison Partners, Georgian Partners, VentureLink",21,1.1
788,Firefly Aerospace,2021-05-04,Other,United States,Cedar Park,North America,2014,$172M,1,"XBTO Ventures, Raven One Ventures, SK Ventures",1.1,"XBTO Ventures, Raven One Ventures, SK Ventures",7,1.1
789,Fundbox,2021-11-30,Fintech,United States,San Francisco,North America,2013,$404M,1,"Khosla Ventures, General Catalyst, Blumberg Capital",1.1,"Khosla Ventures, General Catalyst, Blumberg Capital",8,1.1
790,G2,2021-06-22,Internet Software And Services,United States,Chicago,North America,2012,$258M,1,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners",1.1,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners",9,1.1
791,Gaussian Robotics,2021-11-10,Hardware,China,Shanghai,Asia,2013,$325M,1,"BlueRun Ventures, Grand Flight Investment, Meituan Dianping",1.1,"BlueRun Ventures, Grand Flight Investment, Meituan Dianping",8,1.1
792,GetYourGuide,2019-05-16,Travel,Germany,Berlin,Europe,2009,$656M,1,"Spark Capital, Highland Europe, Sunstone Capital",1.1,"Spark Capital, Highland Europe, Sunstone Capital",10,1.1
793,GlobalBees,2021-12-28,E-commerce And Direct-to-consumer,India,New Delhi,Asia,2021,$185M,1,"Chiratae Ventures, SoftBank Group, Trifecta Capital",1.1,"Chiratae Ventures, SoftBank Group, Trifecta Capital",0,1.1
794,Ivalua,2019-05-21,Fintech,United States,Redwood City,North America,2000,$134M,1,"Ardian, Tiger Global Management, KKR",1.1,"Ardian, Tiger Global Management, KKR",19,1.1
795,Juanpi,2016-04-14,E-commerce And Direct-to-consumer,China,Wuhan,Asia,2012,$136M,1,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital",1.1,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital",4,1.1
796,Karat,2021-10-13,Internet Software And Services,United States,Seattle,North America,2014,$169M,1,"8VC, Norwest Venture Partners, Tiger Global Management",1.1,"8VC, Norwest Venture Partners, Tiger Global Management",7,1.1
797,LEAD School,2022-01-13,Edtech,India,Andheri,Asia,2012,$166M,1,"WestBridge Capital, GSV Ventures, Elevar Equity",1.1,"WestBridge Capital, GSV Ventures, Elevar Equity",10,1.1
798,Nexthink,2021-02-08,Data Management And Analytics,Switzerland,Prilly,Europe,2004,$346M,1,"Auriga, Galeo Ventures, Highland Europe",1.1,"Auriga, Galeo Ventures, Highland Europe",17,1.1
799,People.ai,2021-08-11,Internet Software And Services,United States,San Francisco,North America,2017,$200M,1,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital",1.1,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital",4,1.1
800,Pharmapacks,2020-11-12,E-commerce And Direct-to-consumer,United States,Islandia,North America,2010,$433M,1,The Carlyle Group,1.1,The Carlyle Group,10,1.1
801,Rightway,2021-03-30,Health,United States,New York,North America,2017,$130M,1,"Thrive Capital, Khosla Ventures, Tiger Global Management",1.1,"Thrive Capital, Khosla Ventures, Tiger Global Management",4,1.1
802,Sennder,2021-01-14,"Supply Chain, Logistics, And Delivery",Germany,Berlin,Europe,2015,$340M,1,"Accelm Scania Growth Capital, Lakestar",1.1,"Accelm Scania Growth Capital, Lakestar",6,1.1
803,Sisense,2020-01-09,Data Management And Analytics,United States,New York,North America,2004,$274M,1,"Opus Capital, Genesis Partners, Battery Ventures",1.1,"Opus Capital, Genesis Partners, Battery Ventures",16,1.1
804,Staffbase,2022-03-15,Internet Software And Services,Germany,Chemnitz,Europe,2014,$307M,1,"Insight Partners, e.ventures, General Atlantic",1.1,"Insight Partners, e.ventures, General Atlantic",8,1.1
805,Sunbit,2021-05-20,Fintech,United States,Los Angeles,North America,2016,$210M,1,"Zeev Ventures, Group11, Chicago Ventures",1.1,"Zeev Ventures, Group11, Chicago Ventures",5,1.1
806,TangoMe,2014-03-20,Mobile And Telecommunications,United States,Mountain View,North America,2009,$361M,1,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",1.1,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",5,1.1
807,The Bank of London,2021-11-30,Fintech,United Kingdom,London,Europe,2018,$90M,1,"Mangrove Capital Partners,14W, ForgeLight",1.1,"Mangrove Capital Partners,14W. ForgeLight",3,1.1
808,Zego,2021-03-09,Fintech,United Kingdom,London,Europe,2016,$202M,1,"LocalGlobe, Balderton Capital, Target Global",1.1,"LocalGlobe, Balderton Capital, Target Global",5,1.1
809,Nxin,2018-09-18,Internet Software And Services,China,Beijing,Asia,2015,$53M,1,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",1.08,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",3,1.08
810,Mamaearth,2021-12-28,E-commerce And Direct-to-consumer,India,Gurgaon,Asia,2016,$111M,1,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",1.07,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",5,1.07
811,Radius Payment Solutions,2017-11-27,Fintech,United Kingdom,Crewe,Europe,1990,$200M,1,Inflexion Private Equity,1.07,Inflexion Private Equity,27,1.07
812,Rivigo,2019-07-11,"Supply Chain, Logistics, And Delivery",India,Gurgaon,Asia,2014,$247M,1,"SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",1.07,"SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",5,1.07
813,MobileCoin,2021-07-07,Fintech,United States,San Francisco,North America,2018,$107M,1,"General Catalyst, Future Ventures, AU21",1.06,"General Catalyst, Future Ventures, AU21",3,1.06
814,Density,2021-11-10,Hardware,United States,San Francisco,North America,2014,$217M,1,"Founders Fund, Upfront Ventures, 01 Advisors",1.05,"Founders Fund, Upfront Ventures, 01 Advisors",7,1.05
815,Instabase,2019-10-21,Data Management And Analytics,United States,San Francisco,North America,2015,$132M,1,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",1.05,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",4,1.05
816,Jiuxian,2015-07-30,E-commerce And Direct-to-consumer,China,Beijing,Asia,2009,$250M,1,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",1.05,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",6,1.05
817,Matrixport,2021-06-01,Fintech,Singapore,,Asia,2019,$100M,1,"Dragonfly Captial, Qiming Venture Partners, DST Global",1.05,"Dragonfly Captial, Qiming Venture Partners, DST Global",2,1.05
818,Mixpanel,2021-11-15,Internet Software And Services,United States,San Francisco,North America,2009,$277M,1,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",1.05,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",12,1.05
819,Sendbird,2021-04-06,Mobile And Telecommunications,United States,San Mateo,North America,2013,$221M,1,"FundersClub, Y Combinator, Tiger Global Management",1.05,"FundersClub, Y Combinator, Tiger Global Management",8,1.05
820,OrCam Technologies,2018-02-20,Artificial Intelligence,Israel,Jerusalem,Asia,2010,$86M,1,"Intel Capital, Aviv Venture Capital",1.03,"Intel Capital, Aviv Venture Capital",8,1.03
821,Leap Motor,2018-11-20,Auto And Transportation,China,Hangzhou,Asia,2015,$1B,1,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",1.01,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",3,1.01
822,1KMXC,2021-08-30,Hardware,China,Hangzhou,Asia,2014,$86M,1,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group",1.0,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group",7,1.0
823,58 Daojia,2015-10-12,Internet Software And Services,China,Beijing,Asia,2014,$300M,1,"KKR, Alibaba Group, Ping An Insurance",1.0,"KKR, Alibaba Group, Ping An Insurance",1,1.0
824,Agile Robots,2021-09-09,Hardware,Germany,Munich,Europe,2018,$240M,1,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",1.0,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",3,1.0
825,Aibee,2021-04-13,Artificial Intelligence,China,Beijing,Asia,2017,$273M,1,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures",1.0,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures",4,1.0
826,Aircall,2021-06-23,Internet Software And Services,United States,New York,North America,2014,$226M,1,"Balderton Capital, Next World Capital, Draper Esprit",1.0,"Balderton Capital, Next World Capital, Draper Esprit",7,1.0
827,Ajaib,2021-10-04,Fintech,Indonesia,Jakarta,Asia,2018,$245M,1,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners",1.0,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners",3,1.0
828,Alto Pharmacy,2020-01-30,Health,United States,San Francisco,North America,2015,$524M,1,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",1.0,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",5,1.0
829,Amagi,2022-03-16,Internet Software And Services,India,Bengaluru,Asia,2008,$240M,1,"Mayfield, Accel, Norwest Venture Partners",1.4,"Mayfield, Accel, Norwest Venture Partners",14,1.4
830,Amount,2021-05-17,Fintech,United States,Chicago,North America,2019,$243M,1,"Invus Group, Hanaco Venture Capital, WestCap Group",1.0,"Invus Group, Hanaco Venture Capital, WestCap Group",2,1.0
831,Amperity,2021-07-13,Artificial Intelligence,United States,Seattle,North America,2016,$187M,1,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners",1.0,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners",5,1.0
832,Anyscale,2021-12-07,Artificial Intelligence,United States,Berkeley,North America,2019,$160M,1,"Andreessen Horowitz, Intel Capital, Foundation Capital",1.0,"Andreessen Horowitz, Intel Capital, Foundation Capital",2,1.0
833,Aptos,2022-03-15,Internet Software And Services,United States,Palo Alto,North America,2021,$200M,1,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management",1.0,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management",1,1.0
834,Aqua Security,2021-03-10,Cybersecurity,Israel,Ramat Gan,Asia,2015,$265M,1,"TLV Partners, Lightspeed Venture Partners, M12",1.0,"TLV Partners, Lightspeed Venture Partners, M12",6,1.0
835,Assembly,2021-09-21,Internet Software And Services,United States,Culver City,North America,2019,Unknown,1,"Advent International, PSG, Providence Equity Partners",1.0,"Advent International, PSG, Providence Equity Partners",2,1.0
836,Assent,2022-01-06,"Supply Chain, Logistics, And Delivery",Canada,Ottawa,North America,2010,$534M,1,"Vista Equity Partners, Warburg Pincus, First Ascent Ventures",1.0,"Vista Equity Partners, Warburg Pincus, First Ascent Ventures",12,1.0
837,Augury,2021-10-26,Artificial Intelligence,United States,New York,North America,2011,$294M,1,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",1.0,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",10,1.0
838,Axelar,2022-02-15,Internet Software And Services,Canada,Waterloo,North America,2020,$64M,1,"Lemniscap VC, North Island Ventures, Polychain Capital",1.0,"Lemniscap VC, North Island Ventures, Polychain Capital",2,1.0
839,Axiom Space,2021-02-16,Other,United States,Houston,North America,2016,$150M,1,"C5 Capital, Hemisphere Ventures, The Venture Collective",1.0,"C5 Capital, Hemisphere Ventures, The Venture Collective",5,1.0
840,Banma Network Technologies,2018-09-13,Auto And Transportation,China,Shanghai,Asia,2015,$697M,1,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",1.0,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",3,1.0
841,BeiBei,2015-01-22,E-commerce And Direct-to-consumer,China,Hangzhou,Asia,2011,$224M,1,"Banyan Capital, New Horizon Capital, IDG Capital Partners",1.0,"Banyan Capital, New Horizon Capital, IDG Capital Partners",4,1.0
842,Berlin Brands Group,2021-09-01,E-commerce And Direct-to-consumer,Germany,Berlin,Europe,2005,$800M,1,"Ardian, Bain Capital",1.0,"Ardian, Bain Capital",16,1.0
843,Betterfly,2022-02-01,Artificial Intelligence,Chile,Santiago,South America,2018,$205M,1,"QED Investors, DST Global, Endeavor",1.0,"QED Investors, DST Global, Endeavor",4,1.0
844,BitFury,2018-11-06,Hardware,Netherlands,Amsterdam,Europe,2011,$170M,1,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",1.0,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",7,1.0
845,BlackBuck,2021-07-22,"Supply Chain, Logistics, And Delivery",India,Bengaluru,Asia,2015,$352M,1,"Accel, Sands Capital, International Finance Corporation",1.0,"Accel, Sands Capital, International Finance Corporation",6,1.0
846,Bluecore,2021-08-05,Artificial Intelligence,United States,New York,North America,2013,$238M,1,"FirstMark Capital, Georgian Partners, Norwest Venture Partners",1.0,"FirstMark Capital, Georgian Partners, Norwest Venture Partners",8,1.0
847,BlueVoyant,2022-02-23,Cybersecurity,United States,New York,North America,2017,$526M,1,"8VC, Liberty Strategic Capital, Eden Global Partners",1.0,"8VC, Liberty Strategic Capital, Eden Global Partners",5,1.0
848,bolttech,2021-07-01,Fintech,Singapore,,Asia,2018,$210M,1,"Mundi Ventures, Doqling Capital Partners, Activant Capital",1.5,"Mundi Ventures, Doqling Capital Partners, Activant Capital",3,1.5
849,Boom Supersonic,2020-12-16,Other,United States,Englewood,North America,2014,$241M,1,"WRVI Capital, Caffeinated Capital, Y Combinator",1.0,"WRVI Capital, Caffeinated Capital, Y Combinator",6,1.0
850,Bringg,2021-06-16,"Supply Chain, Logistics, And Delivery",Israel,Tel Aviv,Asia,2013,$185M,1,"Salesforce Ventures, next47, Pereg Ventures",1.0,"Salesforce Ventures, next47, Pereg Ventures",8,1.0
851,C2FO,2019-08-07,Fintech,United States,Leawood,North America,2008,$538M,1,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",1.0,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",11,1.0
852,Cadence,2021-12-14,Health,United States,New York,North America,2020,$141M,1,"Thrive Capital, General Catalyst, Coatue Management",1.0,"Thrive Capital, General Catalyst, Coatue Management",1,1.0
853,CAIS,2022-01-11,Fintech,United States,New York,North America,2009,$406M,1,"Franklin Templeton, Motive Partners, Apollo Global Management",1.1,"Franklin Templeton, Motive Partners. Apollo Global Management",13,1.1
854,Cameo,2021-03-30,Internet Software And Services,United States,Chicago,North America,2016,$165M,1,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",1.0,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",5,1.0
855,Capsule,2021-04-28,Health,United States,New York,North America,2016,$570M,1,"Thrive Capital, Durable Capital Partners, G Squared",1.0,"Thrive Capital, Durable Capital Partners, G Squared",5,1.0
856,CargoX,2021-10-21,"Supply Chain, Logistics, And Delivery",Brazil,Sao Paulo,South America,2015,$390M,1,"Valor Capital Group, Lightrock, Softbank Group",1.0,"Valor Capital Group, Lightrock, Softbank Group",6,1.0
857,Carro,2021-06-14,E-commerce And Direct-to-consumer,Singapore,,Asia,2015,$595M,1,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",1.0,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",6,1.0
858,Carson Group,2021-07-14,Fintech,United States,Lincoln,North America,2012,Unknown,1,Bain Capital,1.0,Bain Capital,9,1.0
859,CHEQ,2022-02-22,Cybersecurity,United States,New York,North America,2014,$182M,1,"Battery Ventures, Tiger Global Management, Hanaco Ventures",1.0,"Battery Ventures, Tiger Global Management, Hanaco Ventures",8,1.0
860,Chronosphere,2021-10-07,Data Management And Analytics,United States,New York,North America,2019,$254M,1,"Greylock Partners, Lux Capital, General Atlantic",1.0,"Greylock Partners, Lux Capital, General Atlantic",2,1.0
861,Cider,2021-09-02,E-commerce And Direct-to-consumer,Hong Kong,,Asia,2020,$140M,1,"Andreessen Horowitz, DST Global, IDG Capital",1.0,"Andreessen Horowitz, DST Global, IDG Capital",1,1.0
862,Clara,2021-12-06,Fintech,Mexico,Mexico City,North America,2020,$109M,1,"DST Global, General Catalyst, Monashees+",1.0,"DST Global, General Catalyst, Monashees+",1,1.0
863,Clearcover,2021-04-13,Fintech,United States,Chicago,North America,2016,$305M,1,"American Family Ventures, Cox Enterprises, OMERS Ventures",1.0,"American Family Ventures, Cox Enterprises, OMERS Ventures",5,1.0
864,CommerceIQ,2022-03-21,Artificial Intelligence,United States,Palo Alto,North America,2012,$196M,1,"Trinity Ventures, Madrona Venture Group, Shasta Ventures",1.0,"Trinity Ventures, Madrona Venture Group, Shasta Ventures",10,1.0
865,Contrast Security,2021-11-09,Cybersecurity,United States,Los Altos,North America,2014,$269M,1,"Acero Capital, General Catalyst, M12",1.0,"Acero Capital, General Catalyst, M12",7,1.0
866,Darwinbox,2022-01-25,Internet Software And Services,India,Hyderabad,Asia,2015,$107M,1,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners",1.0,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners",7,1.0
867,Dental Monitoring,2021-10-21,Health,France,Paris,Europe,2014,$232M,1,"Vitruvian Partners, Merieux Equity Partners, Straumann",1.0,"Vitruvian Partners, Merieux Equity Partners, Straumann",7,1.0
868,DianRong,2017-08-02,E-commerce And Direct-to-consumer,China,Shanghai,Asia,2012,$549M,1,"Standard Chartered, FinSight Ventures, Affirma Capital",1.0,"Standard Chartered, FinSight Ventures, Affirma Capital",5,1.0
869,Drata,2021-11-08,Cybersecurity,United States,San Diego,North America,2020,$128M,1,"Cowboy Ventures, Leaders Fund, GGV Capital",1.0,"Cowboy Ventures, Leaders Fund, GGV Capital",1,1.0
870,DriveNets,2021-01-27,Internet Software And Services,Israel,Ra'anana,Asia,2015,$325M,1,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2.5,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",6,2.5
871,Dune Analytics,2022-02-02,Data Management And Analytics,Norway,Oslo,Europe,2018,$79M,1,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners",1.0,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners",4,1.0
872,Dxy.cn,2018-04-10,Health,China,Hangzhou,Asia,2000,$682M,1,"Tencent Holdings, DCM Ventures",1.0,"Tencent Holdings, DCM Ventures",18,1.0
873,EBANX,2019-10-16,Fintech,Brazil,Curitiba,South America,2012,$460M,1,"FTV Capital, Endeavor",1.0,"FTV Capital, Endeavor",7,1.0
874,EcoFlow,2021-06-10,Hardware,China,Shenzhen,Asia,2017,$105M,1,"Delian Capital, China International Capital Corporation, Sequoia Capital China",1.0,"Delian Capital, China International Capital Corporation, Sequoia Capital China",4,1.0
875,Electric,2022-03-29,Cybersecurity,United States,New York,North America,2016,$209M,1,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners",1.0,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners",6,1.0
876,Emerging Markets Property Group,2020-04-28,Other,United Arab Emirates,Dubai,Asia,2015,$279M,1,"OLX Group, KCK Group, EXOR Seeds",1.0,"OLX Group, KCK Group, EXOR Seeds",5,1.0
877,Esusu,2022-01-27,Fintech,United States,New York,North America,2015,$145M,1,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",1.0,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",7,1.0
878,Evidation,2021-03-22,Health,United States,San Mateo,North America,2012,$259M,1,"B Capital Group,, GE Ventures, McKesson Ventures",1.0,"B Capital Group,, GE Ventures, McKesson Ventures",9,1.0
879,Expel,2021-11-18,Cybersecurity,United States,Herndon,North America,2016,$258M,1,"Paladin Capital Group, Greycroft, Scale Venture Partners",1.0,"Paladin Capital Group, Greycroft, Scale Venture Partners",5,1.0
880,Fabric,2021-10-26,"Supply Chain, Logistics, And Delivery",United States,New York,North America,2015,$294M,1,"Innovation Endeavors, Aleph, Temasek",1.5,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures",6,1.5
881,Fabric,2021-10-26,"Supply Chain, Logistics, And Delivery",United States,New York,North America,2015,$294M,1,"Innovation Endeavors, Aleph, Temasek",1.0,"Innovation Endeavors, Aleph, Temasek",6,1.0
882,Feedzai,2021-03-24,Artificial Intelligence,United States,San Mateo,North America,2009,$277M,1,"Global Founders Capital, Shea Ventures, Greycroft",1.0,"Global Founders Capital, Shea Ventures, Greycroft",12,1.0
883,Fever Labs,2022-01-26,Internet Software And Services,United States,New York,North America,2012,$299M,1,"Accel, 14W, GS Growth",1.0,"Accel, 14W, GS Growth",10,1.0
884,Fiture,2021-04-14,Health,China,Chengdu,Asia,2019,$391M,1,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",1.0,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",2,1.0
885,FLASH,2022-03-16,Fintech,United States,Austin,North America,2011,$314M,1,"L Catterton, Trellis Partners, Vista Equity Partners",1.0,"L Catterton, Trellis Partners, Vista Equity Partners",11,1.0
886,Flash Express,2021-02-01,"Supply Chain, Logistics, And Delivery",Thailand,Bangkok,Asia,2017,$350M,1,"SCB 10X, Krungsri Finnovate, eWTP Capital",1.0,"SCB 10X, Krungsri Finnovate, eWTP Capital",4,1.0
887,FlashEx,2018-08-27,"Supply Chain, Logistics, And Delivery",China,Beijing,Asia,2014,$359M,1,"Prometheus Capital, Matrix Partners China, JD Capital Management",1.0,"Prometheus Capital, Matrix Partners China, JD Capital Management",4,1.0
888,Fractal Analytics,2022-01-05,Data Management And Analytics,India,Mumbai,Asia,2000,$685M,1,"TPG Capital, Apax Partners, TA Associates",1.0,"TPG Capital, Apax Partners, TA Associates",22,1.0
889,Freshbooks,2021-08-10,Fintech,Canada,Toronto,North America,2004,$156M,1,"Accomplice, Oak Investment Partners, Georgian Partners",1.0,"Accomplice, Oak Investment Partners, Georgian Partners",17,1.0
890,FXiaoKe,2015-07-02,Mobile And Telecommunications,China,Beijing,Asia,2011,$283M,1,"IDG Capital, Northern Light Venture Capital, DCM Ventures",1.0,"IDG Capital, Northern Light Venture Capital, DCM Ventures",4,1.0
891,Gauntlet Networks,2022-03-07,Fintech,United States,New York,North America,2018,$45M,1,"Polychain Capital, Paradigm, Ribbit Capital",1.0,"Polychain Capital, Paradigm, Ribbit Capital",4,1.0
892,Geek+,2018-11-21,Hardware,China,Beijing,Asia,2015,$439M,1,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",2.0,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",3,2.0
893,Gelato,2021-08-16,E-commerce And Direct-to-consumer,Norway,Oslo,Europe,2007,$269M,1,"Greylock Partners, Google Ventures, BlackRock",1.0,"Greylock Partners, Google Ventures, BlackRock",14,1.0
894,Glia,2022-03-21,Fintech,United States,New York,North America,2012,$152M,1,"Wildcat Capital Management, Insight Partners, Tola Capital",1.0,"Wildcat Capital Management, Insight Partners, Tola Capital",10,1.0
895,GO1,2021-07-19,Internet Software And Services,Australia,Brisbane,Oceania,2015,$284M,1,"Y Combinator, M12, SEEK",1.0,"Y Combinator, M12, SEEK",6,1.0
896,Groq,2021-04-14,Artificial Intelligence,United States,Mountain View,North America,2016,$362M,1,"TDK Ventures, Social Capital, D1 Capital Partners",1.0,"TDK Ventures, Social Capital, D1 Capital Partners",5,1.0
897,Hailo,2021-10-12,Artificial Intelligence,Israel,Tel Aviv,Asia,2017,$221M,1,"Glory Ventures, Maniv Mobility",1.0,"Glory Ventures, Maniv Mobility",4,1.0
898,Haomao.AI,2021-12-22,Artificial Intelligence,China,Beijing,Asia,2019,$157M,1,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management",1.0,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management",2,1.0
899,Hasura,2022-02-22,Internet Software And Services,India,Bengaluru,Asia,2017,$137M,1,"Nexus Venture Partners, Vertex Ventures, STRIVE",1.0,"Nexus Venture Partners, Vertex Ventures, STRIVE",5,1.0
900,HAYDON,2021-09-24,Consumer And Retail,China,Shanghai,Asia,2020,$100M,1,"Tencent Holdings, Hillhouse Capital Management",1.0,"Tencent Holdings, Hillhouse Capital Management",1,1.0
901,Heyday,2021-11-16,E-commerce And Direct-to-consumer,United States,Chicago,North America,2017,$800M,1,"Khosla Ventures,General Catalyst, Victory Park Capital",1.0,"Khosla Ventures,General Catalyst, Victory Park Capital",4,1.0
902,HMD Global,2018-05-21,Mobile And Telecommunications,Finland,Espoo,Europe,2016,$330M,1,Ginko Ventures,1.0,Ginko Ventures,2,1.0
903,Hotmart,2020-03-17,E-commerce And Direct-to-consumer,Netherlands,Amsterdam,Europe,2011,$127M,1,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",1.0,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",9,1.0
904,Huike Group,2018-05-24,Edtech,China,Beijing,Asia,2010,$302M,1,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",1.0,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",8,1.0
905,Human Interest,2021-08-04,Fintech,United States,San Francisco,North America,2015,$337M,1,"Wing Venture Capital, Slow Ventures, Uncork Capital",1.0,"Wing Venture Capital, Slow Ventures, Uncork Capital",6,1.0
906,Ibotta,2019-08-06,Fintech,United States,Denver,North America,2011,$93M,1,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",1.0,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",8,1.0
907,iCarbonX,2016-04-12,Artificial Intelligence,China,Shenzhen,Asia,2015,$200M,1,"Tencent, Vcanbio",1.0,"Tencent, Vcanbio",1,1.0
